CLIENTE,PRODUCTO,CIUDAD,VENDEDOR,ESTADO,VALOR VENTA,Comision,Otro
Clara Sánchez,Alquitran,BOGOTA,Zapata Man,Cerrado,6771429,189600,012
Camila Vanegas,Toluol,BOGOTA,Alzate Val,Abierto,6423761,179865,308
Cristián Grajales,Kerosene,PASTO,Cardona Jua,Abierto,2450000,68600
Cristián Grajales,Acido Clorhidrico-Muriático,BARRANQUILLA,Zapata Val,Abierto,1735114,48583,192
Valentina De Los Ríos,Acetona ,NEIVA,Zapata Die,Abierto,2379558,66627,624
Cristián Grajales,Acido Sulfúrico,BOGOTA,Alzate Val,Abierto,6265806,175442,568
Luisa Cely,Acido Sulfúrico,MANIZALES,Gómez Man,Abierto,4933015,138124,42
Valentina De Los Ríos,Kerosene,NEIVA,Arenas And,Pendiente envío,1819413,50943,564
Natalia Zapata,Cloruro de Amonio,MEDELLIN,Zapata Val,Abierto,3362354,94145,912
Manuela Betancur,Kerosene,MEDELLIN,Cely Lui,Abierto,12540915,351145,62
Juan Cardona,Cloruro de Amonio,MEDELLIN,Pérez Jul,Cerrado,1458630,40841,64
Geraldine Ortiz,Gas,PEREIRA,Ortiz Ger,Abierto,4137836,115859,408
Clara Sánchez,Acetileno,VALLEDUPAR,Ortiz Ger,Abierto,1735874,48604,472
Clara Sánchez,Toluol,NEIVA,Betancur Man,Abierto,1700000,47600
Valerie Zapata,Gas,MEDELLIN,Ortiz Ger,Abierto,1863770,52185,56
Manuela Zapata,Acetileno,VALLEDUPAR,Sánchez Mar,Cerrado,1460080,40882,24
Diego Zapata,Acetona ,MEDELLIN,De Los Ríos Val,Cerrado,4579798,128234,344
Geraldine Ortiz,Eter Etílico,BOGOTA,Arenas And,Cerrado,3800000,106400
Andrea Arenas,Toluol,MEDELLIN,Zapata Val,Pendiente envío,1365623,38237,444
Manuela Betancur,Acetileno,MANIZALES,Zapata Die,Abierto,18319947,512958,516
Valentina Zapata,Toluol,MEDELLIN,Cardona Jua,Cerrado,43934147,1230156,116
Luisa Cely,Eter Etílico,NEIVA,Zapata Die,Pendiente envío,1804051,50513,428
Valentina De Los Ríos,Acetileno,PEREIRA,Muriel Nat,Abierto,2855882,79964,696
Andrea Arenas,Acido Clorhidrico-Muriático,CALDAS,De Los Ríos Val,Ingresado,11054019,309512,532
Juan Cardona,Alquitran,BOGOTA,Zapata Die,Abierto,1360000,38080
Juliana Pérez,Acido Clorhidrico-Muriático,PASTO,Pérez Jul,Abierto,1725245,48306,86
Manuela Zapata,Acido Clorhidrico-Muriático,BOGOTA,Zapata Man,Abierto,2665717,74640,076
Geraldine Ortiz,Acetileno,VALLEDUPAR,Pérez Jul,Ingresado,1495229,41866,412
Valentina García,Acetileno,MEDELLIN,Ortiz Ger,Abierto,14790780,414141,84
Camila Vanegas,Eter Etílico,BOGOTA,De Los Ríos Val,Abierto,6724914,188297,592
Manuela Gómez,Acetileno,PASTO,Sánchez Mar,Cerrado,2474956,69298,768
Juan Cardona,Gas,BOGOTA,Zapata Nat,Abierto,6575247,184106,916
Nataly Muriel,Acetileno,PASTO,Zapata Nat,Cerrado,1939703,54311,684
Valerie Zapata,Acido Sulfúrico,BOGOTA,Ortiz Ger,Abierto,4039690,113111,32
Manuela Gómez,Gas,MEDELLIN,Ortiz Ger,Abierto,3394639,95049,892
Manuela Betancur,Kerosene,BOGOTA,De Los Ríos Val,Pendiente envío,4012000,112336
Clara Sánchez,Gas,VILLAVICENCIO,Muriel Nat,Pendiente envío,1548442,43356,376
Luisa Cely,Eter Etílico,BOGOTA,Zapata Nat,Abierto,1472874,41240,472
Valerie Zapata,Gas,BOGOTA,Zapata Nat,Abierto,1464442,41004,376
Juan Cardona,Acido Clorhidrico-Muriático,BOGOTA,Pérez Jul,Abierto,2255330,63149,24
Diego Zapata,Eter Etílico,PEREIRA,Vanegas Cam,Abierto,5318050,148905,4
Geraldine Ortiz,Alquitran,MEDELLIN,Muriel Nat,Abierto,8880048,248641,344
Manuela Gómez,Acetileno,MEDELLIN,Muriel Nat,Abierto,1344305,37640,54
Natalia Zapata,Acetona ,MEDELLIN,Zapata Man,Abierto,3332291,93304,148
Geraldine Ortiz,Acido Sulfúrico,PEREIRA,Zapata Man,Pendiente envío,4043586,113220,408
Geraldine Ortiz,Acido Sulfúrico,BOGOTA,García Val,Abierto,1388445,38876,46
Andrea Arenas,Eter Etílico,POPAYAN,Zapata Nat,Cerrado,1431315,40076,82
Geraldine Ortiz,Kerosene,MONTERIA,Pérez Jul,Pendiente envío,10726055,300329,54
Valentina De Los Ríos,Acido Sulfúrico,MEDELLIN,García Val,Ingresado,3280000,91840
Cristián Grajales,Acetileno,MEDELLIN,Alzate Val,Abierto,4187102,117238,856
Valentina Zapata,Acetona ,MEDELLIN,García Val,Cerrado,2966654,83066,312
Alejandro Rodríguez,Acetona ,MEDELLIN,Vanegas Cam,Abierto,1850000,51800
Andrea Arenas,Cloruro de Amonio,TULUA,Cardona Jua,Abierto,21107445,591008,46
Clara Sánchez,Acetileno,BARRANQUILLA,Ortiz Ger,Abierto,5570796,155982,288
Luisa Cely,Acido Clorhidrico-Muriático,BOGOTA,Arenas And,Cerrado,2623759,73465,252
Valentina García,Acido Sulfúrico,BOGOTA,De Los Ríos Val,Abierto,1414980,39619,44
Juan Cardona,Acido Clorhidrico-Muriático,PASTO,Cely Lui,Cerrado,2607970,73023,16
Alejandro Rodríguez,Acido Clorhidrico-Muriático,BOGOTA,Sánchez Mar,Ingresado,2125000,59500
Luisa Cely,Acetileno,BOGOTA,Arenas And,Abierto,3719653,104150,284
Manuela Gómez,Acetileno,BOGOTA,Zapata Nat,Abierto,3861083,108110,324
Natalia Zapata,Acido Sulfúrico,NEIVA,Gómez Man,Abierto,2360904,66105,312
Cristián Grajales,Acetona ,ARMENIA,Zapata Val,Abierto,7014659,196410,452
Valentina Zapata,Gas,MEDELLIN,Cely Lui,Abierto,22802504,638470,112
Andrea Arenas,Acetileno,MEDELLIN,De Los Ríos Val,Ingresado,12246313,342896,764
Manuela Gómez,Alquitran,CUCUTA,De Los Ríos Val,Abierto,1369180,38337,04
Andrea Arenas,Eter Etílico,PEREIRA,Ortiz Ger,Abierto,1966138,55051,864
Andrea Arenas,Acido Clorhidrico-Muriático,POPAYAN,Zapata Man,Cerrado,9674036,270873,008
Diego Zapata,Acetona ,NEIVA,García Val,Abierto,9565087,267822,436
Nataly Muriel,Acido Sulfúrico,BOGOTA,Zapata Man,Abierto,1884702,52771,656
Manuela Gómez,Acido Sulfúrico,MEDELLIN,Cely Lui,Cerrado,3423644,95862,032
Valentina Zapata,Acido Sulfúrico,MEDELLIN,García Val,Ingresado,3058432,85636,096
Clara Sánchez,Acetona ,VILLAVICENCIO,Gómez Man,Ingresado,15800000,442400
Manuela Zapata,Alquitran,PASTO,Gómez Man,Abierto,1720774,48181,672
Valentina De Los Ríos,Alquitran,MEDELLIN,Cardona Jua,Abierto,21463822,600987,016
Juliana Pérez,Gas,CALDAS,Grajales Cri,Abierto,1464714,41011,992
Manuela Gómez,Alquitran,NEIVA,Grajales Cri,Abierto,2201380,61638,64
Cristián Grajales,Kerosene,FLORENCIA,Zapata Die,Abierto,19698806,551566,568
Valentina Alzate,Eter Etílico,MEDELLIN,Cely Lui,Abierto,1940643,54338,004
Clara Sánchez,Acetona ,MEDELLIN,Sánchez Mar,Abierto,8983261,251531,308
Diego Zapata,Gas,TULUA,Gómez Man,Abierto,5608296,157032,288
Andrea Arenas,Acido Clorhidrico-Muriático,BOGOTA,Muriel Nat,Cerrado,1362000,38136
Valentina García,Acido Clorhidrico-Muriático,BOGOTA,Grajales Cri,Cerrado,5746054,160889,512
Valentina Alzate,Alquitran,PASTO,Vanegas Cam,Abierto,2538891,71088,948
Manuela Gómez,Kerosene,MANIZALES,Pérez Jul,Abierto,1836670,51426,76
Juan Cardona,Kerosene,BOGOTA,Sánchez Mar,Abierto,5813490,162777,72
Manuela Zapata,Acetileno,PASTO,Arenas And,Abierto,1727103,48358,884
Valerie Zapata,Eter Etílico,MEDELLIN,De Los Ríos Val,Abierto,1828984,51211,552
Valerie Zapata,Gas,PASTO,Zapata Val,Ingresado,2603136,72887,808
Valerie Zapata,Cloruro de Amonio,MEDELLIN,Betancur Man,Cerrado,1477520,41370,56
Cristián Grajales,Acetileno,CALI,Vanegas Cam,Ingresado,7646049,214089,372
Camila Vanegas,Acetileno,CALI,Muriel Nat,Abierto,7201687,201647,236
Valentina De Los Ríos,Cloruro de Amonio,MEDELLIN,García Val,Ingresado,2211149,61912,172
Valentina De Los Ríos,Cloruro de Amonio,CUCUTA,Zapata Man,Ingresado,1750000,49000
Manuela Gómez,Acetona ,MEDELLIN,Cardona Jua,Pendiente envío,3340192,93525,376
Luisa Cely,Cloruro de Amonio,BARRANQUILLA,Ortiz Ger,Abierto,2015949,56446,572
Natalia Zapata,Alquitran,MEDELLIN,García Val,Pendiente envío,1498003,41944,084
Clara Sánchez,Acido Clorhidrico-Muriático,CALI,Ortiz Ger,Abierto,6978678,195402,984
Valentina De Los Ríos,Acido Clorhidrico-Muriático,FLORENCIA,Zapata Man,Abierto,3356841,93991,548
Luisa Cely,Eter Etílico,BOGOTA,Zapata Nat,Abierto,5800000,162400
Alejandro Rodríguez,Eter Etílico,CARTAGENA,Ortiz Ger,Abierto,51074177,1430076,956
Diego Zapata,Eter Etílico,CUCUTA,Muriel Nat,Abierto,1662849,46559,772
Manuela Gómez,Acetileno,CALI,Cardona Jua,Abierto,11686015,327208,42
Diego Zapata,Cloruro de Amonio,NEIVA,Muriel Nat,Abierto,3653615,102301,22
Diego Zapata,Alquitran,BARRANQUILLA,Muriel Nat,Pendiente envío,115442975,3232403,3
Juliana Pérez,Alquitran,MEDELLIN,Betancur Man,Pendiente envío,23746354,664897,912
Andrea Arenas,Acetileno,MEDELLIN,Gómez Man,Abierto,8852202,247861,656
Juan Cardona,Acetileno,VILLAVICENCIO,Grajales Cri,Ingresado,1582568,44311,904
Manuela Betancur,Kerosene,PASTO,Alzate Val,Cerrado,2573257,72051,196
Valerie Zapata,Acetileno,SANTA MARTA,Arenas And,Abierto,1601790,44850,12
Manuela Betancur,Eter Etílico,SANTA MARTA,Betancur Man,Cerrado,4902012,137256,336
Valerie Zapata,Alquitran,BOGOTA,Zapata Man,Ingresado,1813240,50770,72
Clara Sánchez,Alquitran,MEDELLIN,Muriel Nat,Cerrado,1608968,45051,104
Luisa Cely,Acetona ,PASTO,Muriel Nat,Abierto,1993618,55821,304
Valentina Zapata,Acetona ,VILLAVICENCIO,Ortiz Ger,Ingresado,8979040,251413,12
Nataly Muriel,Kerosene,PASTO,García Val,Cerrado,2512411,70347,508
Natalia Zapata,Kerosene,MEDELLIN,Rodríguez Ale,Abierto,1748674,48962,872
Diego Zapata,Acido Clorhidrico-Muriático,BUCARAMANGA,Ortiz Ger,Abierto,350872000,9824416
Clara Sánchez,Alquitran,SINCELEJO,Arenas And,Abierto,1850000,51800
Valentina García,Gas,PASTO,Zapata Man,Ingresado,1799290,50380,12
Luisa Cely,Acetona ,MANIZALES,Zapata Val,Abierto,1918139,53707,892
Manuela Betancur,Kerosene,PASTO,Sánchez Mar,Abierto,13469524,377146,672
Alejandro Rodríguez,Alquitran,BOGOTA,Zapata Man,Abierto,1750000,49000
Clara Sánchez,Cloruro de Amonio,BOGOTA,Cardona Jua,Abierto,1823501,51058,028
Manuela Betancur,Cloruro de Amonio,MANIZALES,García Val,Pendiente envío,1862850,52159,8
Valentina Zapata,Kerosene,BOGOTA,Zapata Nat,Ingresado,2630000,73640
Valentina Alzate,Acetileno,PEREIRA,Arenas And,Abierto,2750486,77013,608
Juan Cardona,Gas,MEDELLIN,Vanegas Cam,Cerrado,3201058,89629,624
Valentina García,Acetona ,PASTO,Ortiz Ger,Abierto,1762317,49344,876
Juan Cardona,Gas,MEDELLIN,Cardona Jua,Ingresado,1484410,41563,48
Valentina Alzate,Eter Etílico,BOGOTA,Rodríguez Ale,Abierto,2257088,63198,464
Natalia Zapata,Alquitran,BOGOTA,Cely Lui,Abierto,1520010,42560,28
Valentina Alzate,Acetileno,MEDELLIN,Rodríguez Ale,Abierto,20180000,565040
Luisa Cely,Acetileno,CALI,Ortiz Ger,Abierto,7330291,205248,148
Nataly Muriel,Gas,MEDELLIN,Betancur Man,Abierto,13849000,387772
Nataly Muriel,Acido Clorhidrico-Muriático,PASTO,Alzate Val,Abierto,2443039,68405,092
Valentina Zapata,Alquitran,BUCARAMANGA,Betancur Man,Abierto,1947032,54516,896
Alejandro Rodríguez,Acetileno,BOGOTA,Betancur Man,Abierto,6073945,170070,46
Valentina García,Acetileno,PASTO,Alzate Val,Pendiente envío,9524445,266684,46
Luisa Cely,Toluol,PEREIRA,Rodríguez Ale,Abierto,4081046,114269,288
Manuela Betancur,Gas,MEDELLIN,Grajales Cri,Abierto,1949923,54597,844
Luisa Cely,Acetileno,MEDELLIN,Grajales Cri,Abierto,1633291,45732,148
Manuela Betancur,Acido Clorhidrico-Muriático,FLORENCIA,Betancur Man,Abierto,14284557,399967,596
Camila Vanegas,Acetona ,PASTO,Pérez Jul,Pendiente envío,2571786,72010,008
Luisa Cely,Cloruro de Amonio,BOGOTA,Grajales Cri,Abierto,2635862,73804,136
Geraldine Ortiz,Eter Etílico,PEREIRA,Grajales Cri,Cerrado,1412000,39536
Valentina Alzate,Acetileno,MEDELLIN,Zapata Val,Ingresado,12958078,362826,184
Manuela Zapata,Kerosene,MEDELLIN,Cardona Jua,Abierto,1829680,51231,04
Camila Vanegas,Eter Etílico,NEIVA,Zapata Val,Abierto,14000000,392000
Clara Sánchez,Acido Sulfúrico,NEIVA,Arenas And,Cerrado,1749600,48988,8
Valerie Zapata,Kerosene,MEDELLIN,Zapata Nat,Ingresado,1679836,47035,408
Nataly Muriel,Gas,BOGOTA,Betancur Man,Cerrado,3846278,107695,784
Valentina De Los Ríos,Acido Sulfúrico,BUCARAMANGA,Alzate Val,Abierto,5214337,146001,436
Valentina Zapata,Alquitran,FLORENCIA,Arenas And,Pendiente envío,1452833,40679,324
Andrea Arenas,Cloruro de Amonio,MEDELLIN,Arenas And,Abierto,14359484,402065,552
Valerie Zapata,Kerosene,BOGOTA,García Val,Abierto,1443003,40404,084
Valentina García,Gas,NEIVA,Rodríguez Ale,Abierto,2062928,57761,984
Luisa Cely,Acetileno,BOGOTA,Cely Lui,Abierto,3771079,105590,212
Nataly Muriel,Acetileno,BOGOTA,García Val,Abierto,3794767,106253,476
Luisa Cely,Acetileno,NEIVA,Muriel Nat,Abierto,1860000,52080
Juliana Pérez,Acido Sulfúrico,MEDELLIN,Rodríguez Ale,Cerrado,1908903,53449,284
Manuela Betancur,Gas,PEREIRA,Zapata Val,Abierto,1879926,52637,928
Andrea Arenas,Alquitran,BOGOTA,Ortiz Ger,Abierto,1359122,38055,416
Geraldine Ortiz,Acetileno,MEDELLIN,Pérez Jul,Abierto,3320984,92987,552
Natalia Zapata,Acetona ,MEDELLIN,Rodríguez Ale,Abierto,1471999,41215,972
Manuela Betancur,Alquitran,NEIVA,García Val,Abierto,3650000,102200
Juliana Pérez,Kerosene,PEREIRA,Zapata Man,Abierto,1874695,52491,46
Valentina De Los Ríos,Acetileno,SANTA MARTA,Zapata Man,Ingresado,1476803,41350,484
Valentina Zapata,Acetileno,VALLEDUPAR,Pérez Jul,Abierto,1647467,46129,076
Juliana Pérez,Acido Sulfúrico,BOGOTA,De Los Ríos Val,Abierto,1363180,38169,04
Alejandro Rodríguez,Acetileno,MEDELLIN,De Los Ríos Val,Abierto,2974508,83286,224
Juliana Pérez,Toluol,MEDELLIN,De Los Ríos Val,Cerrado,2971380,83198,64
Valentina Zapata,Cloruro de Amonio,BOGOTA,Ortiz Ger,Abierto,3908155,109428,34
Valentina Alzate,Acetileno,MEDELLIN,Cardona Jua,Abierto,2018726,56524,328
Luisa Cely,Alquitran,BOGOTA,Gómez Man,Cerrado,2132629,59713,612
Valentina Alzate,Acetona ,MEDELLIN,Rodríguez Ale,Cerrado,22770982,637587,496
Manuela Betancur,Acetileno,MONTERIA,Vanegas Cam,Cerrado,37147500,1040130
Manuela Zapata,Kerosene,BARRANQUILLA,Ortiz Ger,Cerrado,1400000,39200
Valentina Alzate,Eter Etílico,BOGOTA,Zapata Nat,Cerrado,2078725,58204,3
Geraldine Ortiz,Acetileno,NEIVA,Arenas And,Abierto,2355040,65941,12
Valentina Alzate,Acido Clorhidrico-Muriático,MANIZALES,Ortiz Ger,Abierto,1894448,53044,544
Geraldine Ortiz,Eter Etílico,MEDELLIN,Zapata Nat,Cerrado,3391752,94969,056
Manuela Gómez,Acido Clorhidrico-Muriático,SANTA MARTA,Rodríguez Ale,Abierto,8749011,244972,308
Valentina Alzate,Acetileno,NEIVA,Zapata Die,Abierto,17626530,493542,84
Manuela Betancur,Acetona ,BUCARAMANGA,Arenas And,Ingresado,1541616,43165,248
Cristián Grajales,Acetileno,MEDELLIN,Ortiz Ger,Abierto,1893818,53026,904
Camila Vanegas,Gas,MEDELLIN,Vanegas Cam,Abierto,4328145,121188,06
Alejandro Rodríguez,Toluol,BOGOTA,Zapata Val,Abierto,1996791,55910,148
Manuela Gómez,Cloruro de Amonio,POPAYAN,García Val,Abierto,4654430,130324,04
Juan Cardona,Acido Clorhidrico-Muriático,BOGOTA,Alzate Val,Ingresado,6055473,169553,244
Cristián Grajales,Acetileno,NEIVA,Sánchez Mar,Abierto,3660781,102501,868
Manuela Gómez,Kerosene,PASTO,Grajales Cri,Ingresado,1595028,44660,784
Alejandro Rodríguez,Gas,BOGOTA,Arenas And,Abierto,1370965,38387,02
Valentina De Los Ríos,Alquitran,PEREIRA,Vanegas Cam,Pendiente envío,4645058,130061,624
Valentina Zapata,Alquitran,BARRANQUILLA,Zapata Val,Abierto,4800000,134400
Valentina Zapata,Alquitran,MEDELLIN,Grajales Cri,Ingresado,1650000,46200
Nataly Muriel,Acetileno,PASTO,Cardona Jua,Ingresado,2455014,68740,392
Valentina De Los Ríos,Acido Sulfúrico,MEDELLIN,Vanegas Cam,Cerrado,2016382,56458,696
Valentina García,Gas,MEDELLIN,Rodríguez Ale,Cerrado,3393728,95024,384
Manuela Betancur,Acido Clorhidrico-Muriático,PASTO,De Los Ríos Val,Pendiente envío,2412404,67547,312
Manuela Zapata,Eter Etílico,MEDELLIN,Arenas And,Abierto,1494708,41851,824
Valentina García,Acetileno,MEDELLIN,Vanegas Cam,Abierto,10756465,301181,02
Camila Vanegas,Cloruro de Amonio,BOGOTA,Zapata Man,Abierto,6585474,184393,272
Natalia Zapata,Gas,BOGOTA,Ortiz Ger,Abierto,1901959,53254,852
Juliana Pérez,Toluol,BOGOTA,Zapata Die,Abierto,6741701,188767,628
Manuela Zapata,Acetileno,POPAYAN,Zapata Die,Abierto,1533260,42931,28
Valentina De Los Ríos,Toluol,TULUA,Cardona Jua,Pendiente envío,2269268,63539,504
Valentina García,Acido Clorhidrico-Muriático,PASTO,Grajales Cri,Abierto,1713509,47978,252
Valentina Alzate,Acetileno,BOGOTA,Zapata Man,Cerrado,2212453,61948,684
Valentina García,Eter Etílico,CALDAS,De Los Ríos Val,Cerrado,1699424,47583,872
Camila Vanegas,Gas,BOGOTA,Zapata Val,Abierto,3704336,103721,408
Geraldine Ortiz,Cloruro de Amonio,MONTERIA,Zapata Man,Abierto,3084242,86358,776
Nataly Muriel,Eter Etílico,BOGOTA,Zapata Die,Abierto,1671274,46795,672
Cristián Grajales,Acido Sulfúrico,ARMENIA,Pérez Jul,Abierto,3500000,98000
Valentina Alzate,Alquitran,PASTO,Alzate Val,Ingresado,2484066,69553,848
Geraldine Ortiz,Kerosene,CARTAGENA,Pérez Jul,Abierto,2186742,61228,776
Valentina De Los Ríos,Acido Sulfúrico,SINCELEJO,Vanegas Cam,Abierto,12090000,338520
Andrea Arenas,Acetileno,BOGOTA,Rodríguez Ale,Abierto,1386832,38831,296
Juliana Pérez,Acetona ,BOGOTA,Cely Lui,Abierto,2058093,57626,604
Cristián Grajales,Cloruro de Amonio,POPAYAN,Vanegas Cam,Abierto,15008400,420235,2
Cristián Grajales,Alquitran,NEIVA,Vanegas Cam,Pendiente envío,2268414,63515,592
Valentina Zapata,Eter Etílico,MEDELLIN,Cely Lui,Pendiente envío,158237211,4430641,908
Valentina Zapata,Eter Etílico,MEDELLIN,Arenas And,Abierto,2243144,62808,032
Manuela Betancur,Acetileno,MEDELLIN,Alzate Val,Ingresado,3337016,93436,448
Juliana Pérez,Cloruro de Amonio,CARTAGENA,Zapata Val,Abierto,34048218,953350,104
Valentina García,Acido Clorhidrico-Muriático,BOGOTA,Zapata Val,Abierto,2080500,58254
Cristián Grajales,Acetileno,MEDELLIN,Grajales Cri,Abierto,1632600,45712,8
Diego Zapata,Toluol,MEDELLIN,Zapata Man,Abierto,1467885,41100,78
Valerie Zapata,Eter Etílico,POPAYAN,Betancur Man,Abierto,5048764,141365,392
Alejandro Rodríguez,Acido Clorhidrico-Muriático,CUCUTA,Pérez Jul,Ingresado,9334727,261372,356
Manuela Zapata,Acetileno,PEREIRA,Alzate Val,Abierto,2933551,82139,428
Valentina De Los Ríos,Gas,PASTO,Ortiz Ger,Abierto,2610000,73080
Valentina De Los Ríos,Eter Etílico,MEDELLIN,Muriel Nat,Ingresado,57627250,1613563
Valentina Zapata,Acido Sulfúrico,PEREIRA,Alzate Val,Abierto,2923545,81859,26
Andrea Arenas,Kerosene,CALI,Cely Lui,Cerrado,7725440,216312,32
Natalia Zapata,Acido Clorhidrico-Muriático,NEIVA,Cardona Jua,Abierto,1786794,50030,232
Valentina Zapata,Gas,PASTO,Zapata Man,Abierto,1678914,47009,592
Juliana Pérez,Gas,PASTO,Zapata Nat,Pendiente envío,2499312,69980,736
Camila Vanegas,Acetona ,BOGOTA,Rodríguez Ale,Ingresado,2172535,60830,98
Camila Vanegas,Cloruro de Amonio,MEDELLIN,Zapata Man,Ingresado,1430691,40059,348
Nataly Muriel,Gas,BOGOTA,Grajales Cri,Pendiente envío,5569433,155944,124
Geraldine Ortiz,Acido Sulfúrico,PASTO,Zapata Nat,Abierto,1727670,48374,76
Juliana Pérez,Acetona ,CALDAS,Alzate Val,Abierto,1491181,41753,068
Manuela Gómez,Acetona ,VALLEDUPAR,Cely Lui,Abierto,26142068,731977,904
Valentina García,Eter Etílico,CUCUTA,Zapata Die,Abierto,1366929,38274,012
Valentina Zapata,Eter Etílico,MEDELLIN,García Val,Abierto,13809143,386656,004
Manuela Gómez,Cloruro de Amonio,PASTO,Zapata Nat,Ingresado,2494638,69849,864
Natalia Zapata,Eter Etílico,BOGOTA,De Los Ríos Val,Cerrado,2720000,76160
Diego Zapata,Toluol,MEDELLIN,Zapata Val,Ingresado,1892240,52982,72
Juan Cardona,Acido Sulfúrico,CALI,Cardona Jua,Pendiente envío,6848175,191748,9
Valentina García,Acetona ,MEDELLIN,Cardona Jua,Cerrado,20070654,561978,312
Geraldine Ortiz,Acetona ,MEDELLIN,Ortiz Ger,Abierto,3093512,86618,336
Natalia Zapata,Acetileno,MEDELLIN,Ortiz Ger,Abierto,3124325,87481,1
Nataly Muriel,Cloruro de Amonio,BARRANQUILLA,Grajales Cri,Abierto,1606304,44976,512
Andrea Arenas,Gas,MEDELLIN,Sánchez Mar,Abierto,2832044,79297,232
Manuela Zapata,Acetileno,PEREIRA,Alzate Val,Abierto,4040000,113120
Manuela Zapata,Alquitran,PEREIRA,Alzate Val,Abierto,13095461,366672,908
Cristián Grajales,Eter Etílico,BOGOTA,Zapata Man,Pendiente envío,3958000,110824
Manuela Gómez,Acetona ,PASTO,Pérez Jul,Ingresado,2408820,67446,96
Geraldine Ortiz,Toluol,MEDELLIN,Grajales Cri,Ingresado,4432534,124110,952
Andrea Arenas,Acido Sulfúrico,PASTO,Grajales Cri,Ingresado,2401242,67234,776
Luisa Cely,Cloruro de Amonio,BOGOTA,Grajales Cri,Abierto,1363440,38176,32
Diego Zapata,Acido Clorhidrico-Muriático,PEREIRA,Zapata Die,Cerrado,2825858,79124,024
Alejandro Rodríguez,Eter Etílico,FLORENCIA,Cardona Jua,Abierto,2183670,61142,76
Valentina García,Acetileno,PASTO,Pérez Jul,Abierto,2493499,69817,972
Camila Vanegas,Acetona ,MEDELLIN,De Los Ríos Val,Abierto,17317309,484884,652
Valentina Zapata,Cloruro de Amonio,BOGOTA,Cely Lui,Abierto,1355000,37940
Geraldine Ortiz,Acetona ,PEREIRA,Zapata Man,Abierto,1708894,47849,032
Luisa Cely,Eter Etílico,BOGOTA,Gómez Man,Abierto,1839273,51499,644
Manuela Gómez,Acetona ,NEIVA,Zapata Nat,Abierto,1861152,52112,256
Luisa Cely,Acido Clorhidrico-Muriático,PEREIRA,García Val,Cerrado,2947926,82541,928
Clara Sánchez,Acido Sulfúrico,BARRANQUILLA,García Val,Abierto,5516281,154455,868
Natalia Zapata,Acetileno,TULUA,Cely Lui,Pendiente envío,8397595,235132,66
Luisa Cely,Alquitran,BOGOTA,Cardona Jua,Ingresado,1730000,48440
Valentina Alzate,Cloruro de Amonio,CARTAGENA,Ortiz Ger,Abierto,1682236,47102,608
Manuela Gómez,Kerosene,BARRANQUILLA,Cely Lui,Abierto,1460114,40883,192
Alejandro Rodríguez,Alquitran,MEDELLIN,De Los Ríos Val,Ingresado,1907664,53414,592
Juan Cardona,Acido Clorhidrico-Muriático,SANTA MARTA,Betancur Man,Abierto,5634318,157760,904
Valentina De Los Ríos,Toluol,CALI,Sánchez Mar,Abierto,6852123,191859,444
Geraldine Ortiz,Acido Clorhidrico-Muriático,BOGOTA,Zapata Die,Abierto,1830000,51240
Clara Sánchez,Acido Sulfúrico,PASTO,Zapata Val,Abierto,1560855,43703,94
Cristián Grajales,Acido Sulfúrico,IBAGUE,Muriel Nat,Abierto,1651836,46251,408
Diego Zapata,Acetileno,MEDELLIN,Ortiz Ger,Abierto,2983900,83549,2
Natalia Zapata,Cloruro de Amonio,BUCARAMANGA,Cely Lui,Abierto,3402411,95267,508
Diego Zapata,Gas,MEDELLIN,Rodríguez Ale,Pendiente envío,3609584,101068,352
Geraldine Ortiz,Acetileno,POPAYAN,Vanegas Cam,Ingresado,10323205,289049,74
Nataly Muriel,Toluol,CALI,Zapata Val,Cerrado,7498873,209968,444
Juan Cardona,Acetileno,MEDELLIN,Cely Lui,Abierto,1581119,44271,332
Juan Cardona,Cloruro de Amonio,SANTA MARTA,Zapata Die,Abierto,2985860,83604,08
Cristián Grajales,Acido Sulfúrico,CARTAGENA,Sánchez Mar,Abierto,5487021,153636,588
Geraldine Ortiz,Acido Sulfúrico,BOGOTA,De Los Ríos Val,Cerrado,1350223,37806,244
Geraldine Ortiz,Alquitran,MANIZALES,Betancur Man,Pendiente envío,22343481,625617,468
Manuela Zapata,Cloruro de Amonio,BARRANQUILLA,Muriel Nat,Abierto,3382733,94716,524
Juliana Pérez,Alquitran,BOGOTA,Cardona Jua,Abierto,2016543,56463,204
Nataly Muriel,Toluol,PASTO,Gómez Man,Ingresado,2600000,72800
Valentina Zapata,Acetileno,MEDELLIN,Zapata Die,Abierto,1989590,55708,52
Natalia Zapata,Acetileno,MEDELLIN,Betancur Man,Abierto,20543336,575213,408
Manuela Gómez,Gas,BOGOTA,Gómez Man,Abierto,6771518,189602,504
Manuela Gómez,Acetona ,SANTA MARTA,Cardona Jua,Abierto,4630500,129654
Manuela Zapata,Eter Etílico,MEDELLIN,Zapata Die,Ingresado,1597306,44724,568
Cristián Grajales,Acetona ,MEDELLIN,Pérez Jul,Cerrado,3255669,91158,732
Valerie Zapata,Acetileno,MEDELLIN,Rodríguez Ale,Cerrado,3487660,97654,48
Andrea Arenas,Kerosene,MEDELLIN,Cely Lui,Abierto,4594670,128650,76
